,algo,focus,iters
1844,entropy,1.0,30
1845,sobel,75.0,30
1846,variance,3.0,30
1847,power,19.0,30
1848,brenner,-1.0,30
1849,range,-7.0,30
1850,entropy,-1.0,30
1851,sobel,-23.0,30
1852,variance,-3.0,30
1853,power,25.0,30
1854,brenner,-1.0,30
1855,range,-7.0,30
1856,entropy,-1.0,30
1857,sobel,59.0,30
1858,variance,-3.0,30
1859,power,25.0,30
1860,brenner,2.0,30
1861,range,4.0,30
1862,entropy,2.0,30
1863,sobel,80.0,30
1864,variance,4.0,30
1865,power,-20.0,30
1866,brenner,2.0,30
1867,range,4.0,30
1868,entropy,2.0,30
1869,sobel,-56.0,30
1870,variance,4.0,30
1871,power,-20.0,30
1872,brenner,-2.0,30
1873,range,4.0,30
1874,entropy,0.0,30
1875,sobel,-6.0,30
1876,variance,-2.0,30
1877,power,30.0,30
1878,brenner,-2.0,30
1879,range,4.0,30
1880,entropy,0.0,30
1881,sobel,-6.0,30
1882,variance,-2.0,30
1883,power,30.0,30
1884,brenner,4.0,30
1885,range,8.0,30
1886,entropy,8.0,30
1887,sobel,22.0,30
1888,variance,4.0,30
1889,power,-12.0,30
1890,brenner,2.0,30
1891,range,4.0,30
1892,entropy,2.0,30
1893,sobel,-56.0,30
1894,variance,4.0,30
1895,power,-20.0,30
1896,brenner,1.0,30
1897,range,1.0,30
1898,entropy,1.0,30
1899,sobel,-41.0,30
1900,variance,1.0,30
1901,power,-21.0,30
1902,brenner,2.0,30
1903,range,4.0,30
1904,entropy,2.0,30
1905,sobel,-56.0,30
1906,variance,4.0,30
1907,power,-20.0,30
1908,brenner,4.0,30
1909,range,8.0,30
1910,entropy,8.0,30
1911,sobel,22.0,30
1912,variance,4.0,30
1913,power,-12.0,30
1914,brenner,2.0,30
1915,range,4.0,30
1916,entropy,2.0,30
1917,sobel,-56.0,30
1918,variance,4.0,30
1919,power,-20.0,30
1920,brenner,2.0,30
1921,range,4.0,30
1922,entropy,2.0,30
1923,sobel,-56.0,30
1924,variance,4.0,30
1925,power,-80.0,30
1926,brenner,2.0,30
1927,range,4.0,30
1928,entropy,2.0,30
1929,sobel,76.0,30
1930,variance,4.0,30
1931,power,-20.0,30
1932,brenner,1.0,30
1933,range,1.0,30
1934,entropy,1.0,30
1935,sobel,55.0,30
1936,variance,1.0,30
1937,power,-21.0,30
1938,brenner,2.0,30
1939,range,4.0,30
1940,entropy,2.0,30
1941,sobel,80.0,30
1942,variance,4.0,30
1943,power,-20.0,30
1944,brenner,1.0,30
1945,range,1.0,30
1946,entropy,1.0,30
1947,sobel,-57.0,30
1948,variance,3.0,30
1949,power,19.0,30
1950,brenner,-2.0,30
1951,range,4.0,30
1952,entropy,0.0,30
1953,sobel,-6.0,30
1954,variance,-2.0,30
1955,power,30.0,30
1956,brenner,3.0,30
1957,range,5.0,30
1958,entropy,5.0,30
1959,sobel,29.0,30
1960,variance,7.0,30
1961,power,-67.0,30
1962,brenner,-2.0,30
1963,range,4.0,30
1964,entropy,0.0,30
1965,sobel,-6.0,30
1966,variance,-2.0,30
1967,power,30.0,30
1968,brenner,-2.0,30
1969,range,4.0,30
1970,entropy,0.0,30
1971,sobel,-6.0,30
1972,variance,-2.0,30
1973,power,30.0,30
1974,brenner,-2.0,30
1975,range,4.0,30
1976,entropy,0.0,30
1977,sobel,-6.0,30
1978,variance,-2.0,30
1979,power,30.0,30
1980,brenner,1.0,30
1981,range,1.0,30
1982,entropy,1.0,30
1983,sobel,-41.0,30
1984,variance,1.0,30
1985,power,-21.0,30
1986,brenner,-1.0,30
1987,range,-7.0,30
1988,entropy,-1.0,30
1989,sobel,59.0,30
1990,variance,-3.0,30
1991,power,25.0,30
1992,brenner,1.0,30
1993,range,1.0,30
1994,entropy,1.0,30
1995,sobel,-75.0,30
1996,variance,1.0,30
1997,power,-21.0,30
1998,brenner,4.0,30
1999,range,8.0,30
2000,entropy,8.0,30
2001,sobel,22.0,30
2002,variance,4.0,30
2003,power,-12.0,30
2004,brenner,2.0,30
2005,range,4.0,30
2006,entropy,2.0,30
2007,sobel,-56.0,30
2008,variance,4.0,30
2009,power,-20.0,30
2010,brenner,-1.0,30
2011,range,-7.0,30
2012,entropy,-1.0,30
2013,sobel,59.0,30
2014,variance,-3.0,30
2015,power,25.0,30
2016,brenner,-1.0,30
2017,range,-7.0,30
2018,entropy,-1.0,30
2019,sobel,59.0,30
2020,variance,-3.0,30
2021,power,25.0,30
2022,brenner,2.0,30
2023,range,4.0,30
2024,entropy,2.0,30
2025,sobel,76.0,30
2026,variance,4.0,30
2027,power,-20.0,30
2028,brenner,3.0,30
2029,range,5.0,30
2030,entropy,5.0,30
2031,sobel,29.0,30
2032,variance,7.0,30
2033,power,-67.0,30
2034,brenner,1.0,30
2035,range,1.0,30
2036,entropy,1.0,30
2037,sobel,-75.0,30
2038,variance,3.0,30
2039,power,19.0,30
2040,brenner,4.0,30
2041,range,8.0,30
2042,entropy,8.0,30
2043,sobel,22.0,30
2044,variance,4.0,30
2045,power,-12.0,30
2046,brenner,3.0,30
2047,range,5.0,30
2048,entropy,5.0,30
2049,sobel,29.0,30
2050,variance,7.0,30
2051,power,-67.0,30
2052,brenner,-2.0,30
2053,range,4.0,30
2054,entropy,0.0,30
2055,sobel,-6.0,30
2056,variance,-2.0,30
2057,power,30.0,30
2058,brenner,1.0,30
2059,range,1.0,30
2060,entropy,1.0,30
2061,sobel,75.0,30
2062,variance,3.0,30
2063,power,19.0,30
2064,brenner,4.0,30
2065,range,8.0,30
2066,entropy,8.0,30
2067,sobel,22.0,30
2068,variance,4.0,30
2069,power,-12.0,30
2070,brenner,3.0,30
2071,range,5.0,30
2072,entropy,5.0,30
2073,sobel,29.0,30
2074,variance,7.0,30
2075,power,-67.0,30
2076,brenner,1.0,30
2077,range,1.0,30
2078,entropy,1.0,30
2079,sobel,55.0,30
2080,variance,1.0,30
2081,power,-21.0,30
2082,brenner,3.0,30
2083,range,5.0,30
2084,entropy,5.0,30
2085,sobel,29.0,30
2086,variance,7.0,30
2087,power,-19.0,30
2088,brenner,4.0,30
2089,range,8.0,30
2090,entropy,8.0,30
2091,sobel,22.0,30
2092,variance,4.0,30
2093,power,-12.0,30
2094,brenner,4.0,30
2095,range,8.0,30
2096,entropy,8.0,30
2097,sobel,22.0,30
2098,variance,4.0,30
2099,power,-12.0,30
2100,brenner,1.0,30
2101,range,1.0,30
2102,entropy,1.0,30
2103,sobel,-75.0,30
2104,variance,3.0,30
2105,power,19.0,30
2106,brenner,4.0,30
2107,range,8.0,30
2108,entropy,8.0,30
2109,sobel,22.0,30
2110,variance,4.0,30
2111,power,-12.0,30
2112,brenner,-2.0,30
2113,range,4.0,30
2114,entropy,0.0,30
2115,sobel,-6.0,30
2116,variance,-2.0,30
2117,power,30.0,30
2118,brenner,-1.0,30
2119,range,-7.0,30
2120,entropy,-1.0,30
2121,sobel,-23.0,30
2122,variance,-3.0,30
2123,power,25.0,30
2124,brenner,2.0,30
2125,range,4.0,30
2126,entropy,2.0,30
2127,sobel,-56.0,30
2128,variance,4.0,30
2129,power,-20.0,30
2130,brenner,1.0,30
2131,range,1.0,30
2132,entropy,1.0,30
2133,sobel,-57.0,30
2134,variance,3.0,30
2135,power,19.0,30
2136,brenner,-2.0,30
2137,range,4.0,30
2138,entropy,0.0,30
2139,sobel,-6.0,30
2140,variance,-2.0,30
2141,power,30.0,30
2142,brenner,1.0,30
2143,range,1.0,30
2144,entropy,1.0,30
2145,sobel,-75.0,30
2146,variance,3.0,30
2147,power,19.0,30
2148,brenner,1.0,30
2149,range,1.0,30
2150,entropy,1.0,30
2151,sobel,-57.0,30
2152,variance,3.0,30
2153,power,19.0,30
2154,brenner,2.0,30
2155,range,4.0,30
2156,entropy,2.0,30
2157,sobel,80.0,30
2158,variance,4.0,30
2159,power,-20.0,30
2160,brenner,2.0,30
2161,range,4.0,30
2162,entropy,2.0,30
2163,sobel,-56.0,30
2164,variance,4.0,30
2165,power,-20.0,30
2166,brenner,2.0,30
2167,range,4.0,30
2168,entropy,2.0,30
2169,sobel,56.0,30
2170,variance,4.0,30
2171,power,-20.0,30
2172,brenner,1.0,30
2173,range,1.0,30
2174,entropy,1.0,30
2175,sobel,-75.0,30
2176,variance,1.0,30
2177,power,-21.0,30
2178,brenner,1.0,30
2179,range,1.0,30
2180,entropy,1.0,30
2181,sobel,-75.0,30
2182,variance,1.0,30
2183,power,-21.0,30
2184,brenner,2.0,30
2185,range,4.0,30
2186,entropy,2.0,30
2187,sobel,76.0,30
2188,variance,4.0,30
2189,power,-20.0,30
2190,brenner,3.0,30
2191,range,5.0,30
2192,entropy,5.0,30
2193,sobel,29.0,30
2194,variance,7.0,30
2195,power,-61.0,30
2196,brenner,4.0,30
2197,range,8.0,30
2198,entropy,8.0,30
2199,sobel,22.0,30
2200,variance,4.0,30
2201,power,-12.0,30
2202,brenner,-1.0,30
2203,range,-7.0,30
2204,entropy,-1.0,30
2205,sobel,-23.0,30
2206,variance,-3.0,30
2207,power,25.0,30
2208,brenner,-2.0,30
2209,range,4.0,30
2210,entropy,0.0,30
2211,sobel,-6.0,30
2212,variance,-2.0,30
2213,power,30.0,30
2214,brenner,-1.0,30
2215,range,-7.0,30
2216,entropy,-1.0,30
2217,sobel,59.0,30
2218,variance,-3.0,30
2219,power,25.0,30
2220,brenner,4.0,30
2221,range,8.0,30
2222,entropy,8.0,30
2223,sobel,22.0,30
2224,variance,4.0,30
2225,power,-12.0,30
2226,brenner,-2.0,30
2227,range,4.0,30
2228,entropy,0.0,30
2229,sobel,-6.0,30
2230,variance,-2.0,30
2231,power,30.0,30
2232,brenner,-2.0,30
2233,range,4.0,30
2234,entropy,0.0,30
2235,sobel,-6.0,30
2236,variance,-2.0,30
2237,power,30.0,30
2238,brenner,1.0,30
2239,range,1.0,30
2240,entropy,1.0,30
2241,sobel,-57.0,30
2242,variance,3.0,30
2243,power,19.0,30
2244,brenner,-2.0,30
2245,range,4.0,30
2246,entropy,0.0,30
2247,sobel,-6.0,30
2248,variance,-2.0,30
2249,power,30.0,30
2250,brenner,-2.0,30
2251,range,4.0,30
2252,entropy,0.0,30
2253,sobel,-6.0,30
2254,variance,-2.0,30
2255,power,30.0,30
2256,brenner,2.0,30
2257,range,4.0,30
2258,entropy,2.0,30
2259,sobel,-56.0,30
2260,variance,4.0,30
2261,power,-20.0,30
2262,brenner,-1.0,30
2263,range,-7.0,30
2264,entropy,-1.0,30
2265,sobel,59.0,30
2266,variance,-3.0,30
2267,power,25.0,30
2268,brenner,1.0,30
2269,range,1.0,30
2270,entropy,1.0,30
2271,sobel,-75.0,30
2272,variance,3.0,30
2273,power,19.0,30
2274,brenner,-1.0,30
2275,range,-7.0,30
2276,entropy,-1.0,30
2277,sobel,59.0,30
2278,variance,-3.0,30
2279,power,25.0,30
2280,brenner,-1.0,30
2281,range,-7.0,30
2282,entropy,-1.0,30
2283,sobel,59.0,30
2284,variance,-3.0,30
2285,power,25.0,30
2286,brenner,4.0,30
2287,range,8.0,30
2288,entropy,8.0,30
2289,sobel,22.0,30
2290,variance,4.0,30
2291,power,-12.0,30
2292,brenner,1.0,30
2293,range,1.0,30
2294,entropy,1.0,30
2295,sobel,-41.0,30
2296,variance,1.0,30
2297,power,-21.0,30
2298,brenner,3.0,30
2299,range,5.0,30
2300,entropy,5.0,30
2301,sobel,29.0,30
2302,variance,7.0,30
2303,power,-19.0,30
2304,brenner,4.0,30
2305,range,8.0,30
2306,entropy,8.0,30
2307,sobel,22.0,30
2308,variance,4.0,30
2309,power,-12.0,30
2310,brenner,1.0,30
2311,range,1.0,30
2312,entropy,1.0,30
2313,sobel,75.0,30
2314,variance,3.0,30
2315,power,19.0,30
2316,brenner,-1.0,30
2317,range,-7.0,30
2318,entropy,-1.0,30
2319,sobel,-23.0,30
2320,variance,-3.0,30
2321,power,25.0,30
2322,brenner,1.0,30
2323,range,1.0,30
2324,entropy,1.0,30
2325,sobel,-1.0,30
2326,variance,3.0,30
2327,power,19.0,30
2328,brenner,1.0,30
2329,range,1.0,30
2330,entropy,1.0,30
2331,sobel,-1.0,30
2332,variance,3.0,30
2333,power,19.0,30
2334,brenner,2.0,30
2335,range,4.0,30
2336,entropy,2.0,30
2337,sobel,-56.0,30
2338,variance,4.0,30
2339,power,-20.0,30
2340,brenner,3.0,30
2341,range,5.0,30
2342,entropy,5.0,30
2343,sobel,29.0,30
2344,variance,7.0,30
2345,power,-19.0,30
2346,brenner,3.0,30
2347,range,5.0,30
2348,entropy,5.0,30
2349,sobel,29.0,30
2350,variance,7.0,30
2351,power,-19.0,30
2352,brenner,2.0,30
2353,range,4.0,30
2354,entropy,2.0,30
2355,sobel,-56.0,30
2356,variance,4.0,30
2357,power,-20.0,30
2358,brenner,2.0,30
2359,range,4.0,30
2360,entropy,2.0,30
2361,sobel,-56.0,30
2362,variance,4.0,30
2363,power,-20.0,30
2364,brenner,2.0,30
2365,range,4.0,30
2366,entropy,2.0,30
2367,sobel,56.0,30
2368,variance,4.0,30
2369,power,-20.0,30
2370,brenner,2.0,30
2371,range,4.0,30
2372,entropy,2.0,30
2373,sobel,56.0,30
2374,variance,4.0,30
2375,power,-20.0,30
2376,brenner,4.0,30
2377,range,8.0,30
2378,entropy,8.0,30
2379,sobel,22.0,30
2380,variance,4.0,30
2381,power,-12.0,30
2382,brenner,-2.0,30
2383,range,4.0,30
2384,entropy,0.0,30
2385,sobel,-6.0,30
2386,variance,-2.0,30
2387,power,30.0,30
2388,brenner,3.0,30
2389,range,5.0,30
2390,entropy,5.0,30
2391,sobel,29.0,30
2392,variance,7.0,30
2393,power,-67.0,30
2394,brenner,3.0,30
2395,range,5.0,30
2396,entropy,5.0,30
2397,sobel,29.0,30
2398,variance,7.0,30
2399,power,-67.0,30
2400,brenner,-1.0,30
2401,range,-7.0,30
2402,entropy,-1.0,30
2403,sobel,59.0,30
2404,variance,-3.0,30
2405,power,25.0,30
2406,brenner,4.0,30
2407,range,8.0,30
2408,entropy,8.0,30
2409,sobel,22.0,30
2410,variance,4.0,30
2411,power,-12.0,30
2412,brenner,1.0,30
2413,range,1.0,30
2414,entropy,1.0,30
2415,sobel,-1.0,30
2416,variance,3.0,30
2417,power,19.0,30
2418,brenner,1.0,30
2419,range,1.0,30
2420,entropy,1.0,30
2421,sobel,-75.0,30
2422,variance,1.0,30
2423,power,-21.0,30
2424,brenner,1.0,40
2425,range,1.0,40
2426,entropy,1.0,40
2427,sobel,-41.0,40
2428,variance,1.0,40
2429,power,-21.0,40
2430,brenner,1.0,40
2431,range,1.0,40
2432,entropy,1.0,40
2433,sobel,-41.0,40
2434,variance,1.0,40
2435,power,-21.0,40
2436,brenner,2.0,40
2437,range,4.0,40
2438,entropy,2.0,40
2439,sobel,76.0,40
2440,variance,4.0,40
2441,power,-20.0,40
2442,brenner,1.0,40
2443,range,1.0,40
2444,entropy,1.0,40
2445,sobel,-75.0,40
2446,variance,1.0,40
2447,power,-21.0,40
2448,brenner,1.0,40
2449,range,1.0,40
2450,entropy,1.0,40
2451,sobel,75.0,40
2452,variance,3.0,40
2453,power,19.0,40
2454,brenner,2.0,40
2455,range,4.0,40
2456,entropy,2.0,40
2457,sobel,80.0,40
2458,variance,4.0,40
2459,power,-80.0,40
2460,brenner,1.0,40
2461,range,1.0,40
2462,entropy,1.0,40
2463,sobel,-75.0,40
2464,variance,3.0,40
2465,power,19.0,40
2466,brenner,1.0,40
2467,range,1.0,40
2468,entropy,1.0,40
2469,sobel,75.0,40
2470,variance,3.0,40
2471,power,19.0,40
2472,brenner,-1.0,40
2473,range,-7.0,40
2474,entropy,-1.0,40
2475,sobel,-23.0,40
2476,variance,-3.0,40
2477,power,25.0,40
2478,brenner,1.0,40
2479,range,1.0,40
2480,entropy,1.0,40
2481,sobel,-75.0,40
2482,variance,1.0,40
2483,power,-21.0,40
2484,brenner,-2.0,40
2485,range,4.0,40
2486,entropy,0.0,40
2487,sobel,-6.0,40
2488,variance,-2.0,40
2489,power,30.0,40
2490,brenner,3.0,40
2491,range,5.0,40
2492,entropy,5.0,40
2493,sobel,29.0,40
2494,variance,7.0,40
2495,power,-67.0,40
2496,brenner,1.0,40
2497,range,1.0,40
2498,entropy,1.0,40
2499,sobel,75.0,40
2500,variance,3.0,40
2501,power,19.0,40
2502,brenner,1.0,40
2503,range,1.0,40
2504,entropy,1.0,40
2505,sobel,-41.0,40
2506,variance,1.0,40
2507,power,-21.0,40
2508,brenner,4.0,40
2509,range,8.0,40
2510,entropy,8.0,40
2511,sobel,22.0,40
2512,variance,4.0,40
2513,power,-12.0,40
2514,brenner,-2.0,40
2515,range,4.0,40
2516,entropy,0.0,40
2517,sobel,-6.0,40
2518,variance,-2.0,40
2519,power,30.0,40
2520,brenner,2.0,40
2521,range,4.0,40
2522,entropy,2.0,40
2523,sobel,80.0,40
2524,variance,4.0,40
2525,power,-80.0,40
2526,brenner,4.0,40
2527,range,8.0,40
2528,entropy,8.0,40
2529,sobel,22.0,40
2530,variance,4.0,40
2531,power,-12.0,40
2532,brenner,4.0,40
2533,range,8.0,40
2534,entropy,8.0,40
2535,sobel,22.0,40
2536,variance,4.0,40
2537,power,-12.0,40
2538,brenner,-2.0,40
2539,range,4.0,40
2540,entropy,0.0,40
2541,sobel,-6.0,40
2542,variance,-2.0,40
2543,power,30.0,40
2544,brenner,1.0,40
2545,range,1.0,40
2546,entropy,1.0,40
2547,sobel,-41.0,40
2548,variance,1.0,40
2549,power,-21.0,40
2550,brenner,4.0,40
2551,range,8.0,40
2552,entropy,8.0,40
2553,sobel,22.0,40
2554,variance,4.0,40
2555,power,-12.0,40
2556,brenner,3.0,40
2557,range,5.0,40
2558,entropy,5.0,40
2559,sobel,29.0,40
2560,variance,7.0,40
2561,power,-67.0,40
2562,brenner,4.0,40
2563,range,8.0,40
2564,entropy,8.0,40
2565,sobel,22.0,40
2566,variance,4.0,40
2567,power,-12.0,40
2568,brenner,1.0,40
2569,range,1.0,40
2570,entropy,1.0,40
2571,sobel,-41.0,40
2572,variance,1.0,40
2573,power,-21.0,40
2574,brenner,4.0,40
2575,range,8.0,40
2576,entropy,8.0,40
2577,sobel,22.0,40
2578,variance,4.0,40
2579,power,-12.0,40
2580,brenner,4.0,40
2581,range,8.0,40
2582,entropy,8.0,40
2583,sobel,22.0,40
2584,variance,4.0,40
2585,power,-12.0,40
2586,brenner,1.0,40
2587,range,1.0,40
2588,entropy,1.0,40
2589,sobel,-75.0,40
2590,variance,1.0,40
2591,power,-21.0,40
2592,brenner,3.0,40
2593,range,5.0,40
2594,entropy,5.0,40
2595,sobel,29.0,40
2596,variance,7.0,40
2597,power,-67.0,40
2598,brenner,3.0,40
2599,range,5.0,40
2600,entropy,5.0,40
2601,sobel,29.0,40
2602,variance,7.0,40
2603,power,-67.0,40
2604,brenner,2.0,40
2605,range,4.0,40
2606,entropy,2.0,40
2607,sobel,80.0,40
2608,variance,4.0,40
2609,power,-80.0,40
2610,brenner,3.0,40
2611,range,5.0,40
2612,entropy,5.0,40
2613,sobel,29.0,40
2614,variance,7.0,40
2615,power,-19.0,40
2616,brenner,3.0,40
2617,range,5.0,40
2618,entropy,5.0,40
2619,sobel,29.0,40
2620,variance,7.0,40
2621,power,-67.0,40
2622,brenner,3.0,40
2623,range,5.0,40
2624,entropy,5.0,40
2625,sobel,29.0,40
2626,variance,7.0,40
2627,power,-61.0,40
2628,brenner,3.0,40
2629,range,5.0,40
2630,entropy,5.0,40
2631,sobel,29.0,40
2632,variance,7.0,40
2633,power,-67.0,40
2634,brenner,-1.0,40
2635,range,-7.0,40
2636,entropy,-1.0,40
2637,sobel,59.0,40
2638,variance,-3.0,40
2639,power,25.0,40
2640,brenner,-1.0,40
2641,range,-7.0,40
2642,entropy,-1.0,40
2643,sobel,-23.0,40
2644,variance,-3.0,40
2645,power,25.0,40
2646,brenner,4.0,40
2647,range,8.0,40
2648,entropy,8.0,40
2649,sobel,22.0,40
2650,variance,4.0,40
2651,power,-12.0,40
2652,brenner,-1.0,40
2653,range,-7.0,40
2654,entropy,-1.0,40
2655,sobel,59.0,40
2656,variance,-3.0,40
2657,power,25.0,40
2658,brenner,1.0,40
2659,range,1.0,40
2660,entropy,1.0,40
2661,sobel,-75.0,40
2662,variance,1.0,40
2663,power,-21.0,40
2664,brenner,1.0,40
2665,range,1.0,40
2666,entropy,1.0,40
2667,sobel,75.0,40
2668,variance,3.0,40
2669,power,19.0,40
2670,brenner,2.0,40
2671,range,4.0,40
2672,entropy,2.0,40
2673,sobel,-56.0,40
2674,variance,4.0,40
2675,power,-20.0,40
2676,brenner,1.0,40
2677,range,1.0,40
2678,entropy,1.0,40
2679,sobel,75.0,40
2680,variance,3.0,40
2681,power,19.0,40
2682,brenner,1.0,40
2683,range,1.0,40
2684,entropy,1.0,40
2685,sobel,-75.0,40
2686,variance,1.0,40
2687,power,-21.0,40
2688,brenner,2.0,40
2689,range,4.0,40
2690,entropy,2.0,40
2691,sobel,-56.0,40
2692,variance,4.0,40
2693,power,-20.0,40
2694,brenner,1.0,40
2695,range,1.0,40
2696,entropy,1.0,40
2697,sobel,-75.0,40
2698,variance,3.0,40
2699,power,19.0,40
2700,brenner,-1.0,40
2701,range,-7.0,40
2702,entropy,-1.0,40
2703,sobel,59.0,40
2704,variance,-3.0,40
2705,power,25.0,40
2706,brenner,1.0,40
2707,range,1.0,40
2708,entropy,1.0,40
2709,sobel,-41.0,40
2710,variance,1.0,40
2711,power,-21.0,40
2712,brenner,-2.0,40
2713,range,4.0,40
2714,entropy,0.0,40
2715,sobel,-6.0,40
2716,variance,-2.0,40
2717,power,30.0,40
2718,brenner,1.0,40
2719,range,1.0,40
2720,entropy,1.0,40
2721,sobel,-41.0,40
2722,variance,1.0,40
2723,power,-21.0,40
2724,brenner,1.0,40
2725,range,1.0,40
2726,entropy,1.0,40
2727,sobel,75.0,40
2728,variance,3.0,40
2729,power,19.0,40
2730,brenner,2.0,40
2731,range,4.0,40
2732,entropy,2.0,40
2733,sobel,-56.0,40
2734,variance,4.0,40
2735,power,-80.0,40
2736,brenner,4.0,40
2737,range,8.0,40
2738,entropy,8.0,40
2739,sobel,22.0,40
